id,price,neighborhood,borough,accommodates,bathrooms,bedrooms,beds,review_scores_rating,number_of_reviews,listing_url
848092180307734400,206,Hell's Kitchen,Manhattan,3,1,1,1,4.63,8,https://www.airbnb.com/rooms/848092180307734416
848096495893199900,NA,Elmhurst,Queens,2,NA,NA,NA,4.67,3,https://www.airbnb.com/rooms/848096495893199846
848096536616781600,44,Elmhurst,Queens,2,1,1,1,NA,0,https://www.airbnb.com/rooms/848096536616781570
848096577738723e3,43,Elmhurst,Queens,2,1,1,1,NA,0,https://www.airbnb.com/rooms/848096577738722997
848110172251227900,42,Elmhurst,Queens,2,1,1,1,5,1,https://www.airbnb.com/rooms/848110172251227897
848110183986168400,42,Elmhurst,Queens,2,1,1,1,NA,0,https://www.airbnb.com/rooms/848110183986168498
848110289480552200,40,Elmhurst,Queens,2,1,1,1,5,2,https://www.airbnb.com/rooms/848110289480552133
848127304112491500,NA,Elmhurst,Queens,1,NA,NA,NA,NA,0,https://www.airbnb.com/rooms/848127304112491553
848127498966265900,NA,Elmhurst,Queens,1,NA,NA,NA,NA,0,https://www.airbnb.com/rooms/848127498966265828
848233961169303600,NA,Elmhurst,Queens,1,NA,NA,NA,NA,0,https://www.airbnb.com/rooms/848233961169303607
848234655767461e3,NA,Elmhurst,Queens,1,NA,NA,NA,2,1,https://www.airbnb.com/rooms/848234655767460984
848235377484027800,36,Elmhurst,Queens,1,1,1,1,NA,0,https://www.airbnb.com/rooms/848235377484027783
848404919151241e3,252,Jamaica,Queens,3,2,3,3,5,1,https://www.airbnb.com/rooms/848404919151240985
848416944928326400,80,Fort Hamilton,Brooklyn,1,1,1,1,NA,0,https://www.airbnb.com/rooms/848416944928326419
848434404988665100,130,Midtown,Manhattan,3,1,0,2,1,1,https://www.airbnb.com/rooms/848434404988665136
848450247029135400,850,Midtown,Manhattan,4,1,1,1,NA,0,https://www.airbnb.com/rooms/848450247029135377
848458045522763600,175,Oakwood,Staten Island,2,1,1,2,NA,0,https://www.airbnb.com/rooms/848458045522763649
848547348632693200,NA,Lower East Side,Manhattan,1,NA,NA,NA,4.89,9,https://www.airbnb.com/rooms/848547348632693286
848577958550471600,106,Bushwick,Brooklyn,2,1,1,1,4.84,43,https://www.airbnb.com/rooms/848577958550471596
848600126597705200,196,Boerum Hill,Brooklyn,3,1,0,2,4.82,11,https://www.airbnb.com/rooms/848600126597705252
848605900373545700,239,Williamsburg,Brooklyn,2,1,1,1,4.99,81,https://www.airbnb.com/rooms/848605900373545778
848627681349272300,116,Upper East Side,Manhattan,2,1,0,1,3.75,4,https://www.airbnb.com/rooms/848627681349272330
848639150774171400,116,Nolita,Manhattan,2,1,1,1,4.5,2,https://www.airbnb.com/rooms/848639150774171406
848648275744932600,150,Kensington,Brooklyn,3,1,1,2,NA,0,https://www.airbnb.com/rooms/848648275744932650
848688887881823500,311,Murray Hill,Manhattan,2,1,2,2,4.7,27,https://www.airbnb.com/rooms/848688887881823440
848700499893494900,100,Bushwick,Brooklyn,4,1,2,2,5,5,https://www.airbnb.com/rooms/848700499893494953
848890927389228900,42,Sunnyside,Queens,2,1,1,1,NA,0,https://www.airbnb.com/rooms/848890927389228890
848902677120579800,40,Woodside,Queens,2,1,1,1,4,1,https://www.airbnb.com/rooms/848902677120579848
849085936171946800,NA,Fort Greene,Brooklyn,2,NA,1,NA,5,1,https://www.airbnb.com/rooms/849085936171946701
849089372266891600,75,St. Albans,Queens,2,1,1,1,4.79,48,https://www.airbnb.com/rooms/849089372266891592
849141207957610800,229,Bushwick,Brooklyn,2,1,1,1,4.8,71,https://www.airbnb.com/rooms/849141207957610737
849159989403541600,80,Flatlands,Brooklyn,2,1,1,1,4.5,2,https://www.airbnb.com/rooms/849159989403541622
849199148002707800,140,Downtown Brooklyn,Brooklyn,2,1,1,1,NA,0,https://www.airbnb.com/rooms/849199148002707818
849315412913343400,215,Bedford-Stuyvesant,Brooklyn,4,1,2,3,4.83,12,https://www.airbnb.com/rooms/849315412913343353
849355298615771400,127,Hell's Kitchen,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/849355298615771362
849458722007621800,80,Harlem,Manhattan,2,1,1,1,4.92,12,https://www.airbnb.com/rooms/849458722007621708
849516540539302100,395,Crown Heights,Brooklyn,6,3,4,4,5,4,https://www.airbnb.com/rooms/849516540539302137
849519200028401800,292,Jamaica,Queens,10,1,2,5,5,3,https://www.airbnb.com/rooms/849519200028401794
84957824639807e4,56,Upper West Side,Manhattan,1,2,4,1,NA,0,https://www.airbnb.com/rooms/849578246398069958
849766949872596200,175,Bedford-Stuyvesant,Brooklyn,2,1,1,1,4.83,46,https://www.airbnb.com/rooms/849766949872596187
849783971932118300,150,Battery Park City,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/849783971932118297
850000058467889800,189,South Ozone Park,Queens,3,1,1,1,5,1,https://www.airbnb.com/rooms/850000058467889828
850062518718398700,668,Midtown,Manhattan,2,1,0,1,5,1,https://www.airbnb.com/rooms/850062518718398723
850068604258737400,NA,Morris Park,Bronx,3,NA,NA,NA,NA,0,https://www.airbnb.com/rooms/850068604258737442
850082047929988e3,75,Gravesend,Brooklyn,4,1,1,1,4.97,31,https://www.airbnb.com/rooms/850082047929987986
850085679404038100,365,Lower East Side,Manhattan,3,1,2,2,5,7,https://www.airbnb.com/rooms/850085679404038080
850129114994363600,256,Park Slope,Brooklyn,4,1,1,2,4.96,26,https://www.airbnb.com/rooms/850129114994363672
850200906094037900,160,Flatlands,Brooklyn,2,1,1,1,5,13,https://www.airbnb.com/rooms/850200906094037889
850617808482066700,39,Bedford-Stuyvesant,Brooklyn,1,2,5,1,NA,0,https://www.airbnb.com/rooms/850617808482066692
850619180497787500,NA,Bedford-Stuyvesant,Brooklyn,1,NA,5,NA,NA,0,https://www.airbnb.com/rooms/850619180497787481
850620715416914800,NA,Bedford-Stuyvesant,Brooklyn,1,NA,5,NA,NA,0,https://www.airbnb.com/rooms/850620715416914851
850655651403503500,51,Washington Heights,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/850655651403503454
850663853879529500,97,Park Slope,Brooklyn,2,1,0,2,5,5,https://www.airbnb.com/rooms/850663853879529531
850779973183129100,250,Murray Hill,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/850779973183129128
850813236031594e3,214,Park Slope,Brooklyn,3,1,1,1,4.92,25,https://www.airbnb.com/rooms/850813236031594023
850926985725346e3,73,Stapleton,Staten Island,2,1,1,2,4.88,96,https://www.airbnb.com/rooms/850926985725345985
850956416012110200,98,Williamsburg,Brooklyn,1,1,1,1,5,3,https://www.airbnb.com/rooms/850956416012110188
850972829284175e3,120,Sunset Park,Brooklyn,2,1,1,1,4.93,43,https://www.airbnb.com/rooms/850972829284174961
850994914110684200,175,Williamsburg,Brooklyn,2,1,1,1,5,23,https://www.airbnb.com/rooms/850994914110684147
851183969466929500,NA,Battery Park City,Manhattan,2,NA,1,NA,NA,0,https://www.airbnb.com/rooms/851183969466929559
851268870316740400,160,Kips Bay,Manhattan,2,1,1,1,5,4,https://www.airbnb.com/rooms/851268870316740374
851299489251343100,253,Bay Ridge,Brooklyn,2,1,1,1,NA,0,https://www.airbnb.com/rooms/851299489251343109
851412920625087900,NA,Hell's Kitchen,Manhattan,2,NA,NA,NA,4.4,10,https://www.airbnb.com/rooms/851412920625087858
